Airport,Country,IATA code
"Sheffield, City Airport",United Kingdom,SZD
"Sheffield, Doncaster, Robin Hood International Airport",United Kingdom,DSA
Shenandoah Valley/Stauton (VA),USA,SHD
Shenyang,"Liaoning, PR China",SHE
Shenzhen - Shenzhen Bao'an International,"Guangdong, PR China",SZX
Sheridan (WY),USA,SHR
"Shreveport, La",USA,SHV
Shute Harbour,Australia,JHQ
Sibu,Malaysia,SBW
Sidney (MT),USA,SDY
Silistra,Bulgaria,SLS
Simferopol,Ukraine,SIP
Sindhri,Pakistan,MPD
Singapore - Changi,Singapore,SIN
Singapore - Paya Lebar,Singapore,QPG
Singapore - Seletar,Singapore,XSP
Singleton,Australia,SIX
Sioux City IA,USA,SUX
Sioux Falls (SD),USA,FSD
Sishen,South Africa,SIS
Sitka (AK),USA,SIT
Sivas,Turkey,VAS
Siwa,Egypt,SEW
Skagway (AK),USA,SGY
Skardu,Pakistan,KDU
Skiathos,Greece,JSI
Skopje,Macedonia,SKP
Skrydstrup,Denmark,SKS
Skukuza,South Africa,SZK
Sligo,Ireland,SXL
Smithers,Canada,YYD
Sodankylae,Finland,SOT
Soenderborg,Denmark,SGD
Soendre Stroemfjord,Greenland,SFJ
Sofia - Vrazhdebna,Bulgaria,SOF
Sogndal,Norway,SOG
Southampton - Eastleigh,United Kingdom,SOU
South Bend (IN),USA,SBN
"South Indian Lake, MB",Canada,XSI
South Molle Island,Australia,SOI
Southend (London),United Kingdom,SEN
Split,Croatia (Hrvatska),SPU
Spokane (WA),USA,GEG
Springbok,South Africa,SBU
Springfield (IL),USA,SPI
Springfield (MO),USA,SGF
Srinagar,India,SXR
"St. Augustin, PQ",Canada,YIF
St. Croix,Virgin Islands (U.S.),STX
St. Etienne,France,EBU
St. George (UT),USA,SGU
St. John's,Canada,YYT
St. Kitts,St. Kitts and Nevis,SKB
St. Louis (MO) Lambert–St. Louis International Airport,USA,STL
St. Lucia Hewanorra,Saint Lucia,UVF
St. Lucia Vigle,Saint Lucia,SLU
St. Marteen,Netherlands Antilles,SXM
St. Martin,St. Martin (Guadeloupe),SFG
St. Petersburg (Leningrad) - Pulkovo,Russia,LED
"St. Pierre, NF",Canada,FSP
St. Thomas,Virgin Islands (U.S.),STT
St. Vincent,Saint Vincent and the Grenadines,SVD
Stansted (London),United Kingdom,STN
State College/Belefonte (PA),USA,SCE
Stavanger,Norway,SVG
Steamboat Springs (CO),USA,HDN
Stettin,Poland,SZZ
Stockholm Metropolitan Area,Sweden,STO
Stockholm - Arlanda,Sweden,ARN
Stockholm - Bromma,Sweden,BMA
Stockton (CA),USA,SCK
Stornway,United Kingdom,SYY
Strasbourg - Strasbourg Airport,France,SXB
Streaky Bay,Australia,KBY
Stuttgart - Echterdingen,Germany,STR
Sui,Pakistan,SUL
Sukkur,Pakistan,SKZ
Sumburgh (Shetland),United Kingdom,LSI
Sun Valley (ID),USA,SUN
Sundsvall,Sweden,SDL
Sunshine Coast,Australia,MCY
Surabaya - Juanda,Indonesia,SUB
Surat,India,STV
Suva - Nausori Airport (Luvuluvu),Fiji,SUV
Swakopmund,Namibia,SWP
Sydney - Sydney Airport,Australia,SYD
Sylhet,Bangladesh,ZYL
Syracuse (NY),USA,SYR
