Airport,Country,IATA code
"Berne, Bern-Belp",Switzerland,BRN
"Berne, Railway Service",Switzerland,ZDJ
Bethel (AK),USA,BET
Bhopal,India,BHO
Bhubaneswar,India,BBI
Biarritz,France,BIQ
Bilbao,Spain,BIO
Billings (MT),USA,BIL
Billund,Denmark,BLL
Bintulu,Malaysia,BTU
Biraro,Central African Republic,IRO
Birmingham - Birmingham International Airport,United Kingdom,BHX
Birmingham (AL),USA,BHM
Bishkek - Manas International Airport,Kyrgyzstan,FRU
Bismarck (ND) - Bismarck Municipal Airport,USA,BIS
Bissau - Osvaldo Vieiro International Airport,Guinea-Bissau,BXO
Blackpool,United Kingdom,BLK
Blackwater,Australia,BLT
Blantyre (Mandala) - Chileka International Airport,Malawi,BLZ
Blenheim,New Zealand,BHE
Bloemfontein - Bloemfontein Airport,South Africa,BFN
Bloomington (IL),USA,BMI
Bloomington (IN),USA,BMG
Bluefield (WV),USA,BLF
Boa Vista,Brazil,BVB
Bobo/Dioulasso,Burkina Faso,BOY
Bodo,Norway,BOO
Bodrum - Milas Airport,Turkey,BJV
Bogota - El Nuevo Dorado International Airport,Colombia,BOG
Boise (ID) - Boise Air Terminal,USA,BOI
Bologna,Italy,BLQ
Bombay (Mumbai) - Chhatrapati Shivaji International,India,BOM
Bonaire,Netherlands Antilles,BON
"Bonaventure, PQ",Canada,YVB
Bora Bora,French Polynesia,BOB
Bordeaux - Bordeaux Airport,France,BOD
Borrego Springs (CA),USA,BXS
Boston (MA) - General Edward Lawrence Logan,USA,BOS
Bouake,Cote d'Ivoire,BYK
Bourgas/Burgas,Bulgaria,BOJ
Bournemouth,United Kingdom,BOH
Bowen,Australia,ZBO
Bozeman (MT),USA,BZN
Bradford/Warren (PA) /Olean (NY),USA,BFD
Brainerd (MN),USA,BRD
Brampton Island,Australia,BMP
Brasilia - President Juscelino Kubitschek International,Brazil,BSB
Bratislava - M. R. Štefánik Airport,Slovakia,BTS
Brazzaville - Maya-Maya Airport,Congo (ROC),BZV
Bremen - Bremen Airport (Flughafen Bremen),Germany,BRE
"Brescia, Montichiari",Italy,VBS
Brest,France,BES
Bria,Central African Republic,BIV
Bridgeport (CT),USA,BDR
Bridgetown - Grantley Adams International,Barbados,BGI
Brindisi,Italy,BDS
Brisbane,Australia,BNE
Bristol,United Kingdom,BRS
Broennoeysund,Norway,BNN
Broken Hill,Australia,BHQ
Brookings (SD),USA,BKX
Broome,Australia,BME
Brunswick (GA),USA,BQK
Brussels - Brussels Airport,Belgium,BRU
Bucaramanga,Colombia,BGA
Bucharest,Romania,BUH
Bucharest - Henri Coandă International Airport,Romania,OTP
Budapest - Budapest Ferihegy International Airport,Hungary,BUD
Buenos Aires,Argentina,BUE
"Buenos Aires, Ezeiza International Airport",Argentina,EZE
"Buenos Aires, Jorge Newbery",Argentina,AEP
Buffalo Range,Zimbabwe,BFO
Buffalo/Niagara Falls (NY),USA,BUF
Bujumbura - Bujumbura International Airport,Burundi,BJM
Bulawayo,Zimbabwe,BUQ
Bullhead City (NV),USA,BHC
Bundaberg,Australia,BDB
Burbank (CA),USA,BUR
Burlington IA,USA,BRL
Burlington (VT),USA,BTV
Burnie (Wynyard),Australia,BWT
Butte (MT),USA,BTM
